"동별(1)","동별(2)",동별(3),각세별(1),계,여자
"합계","소계",소계,합계,10143645,5135776
"합계","종로구",소계,합계,160070,80551
"합계","종로구",사직동,합계,9875,5266
"합계","종로구",삼청동,합계,3218,1661
"합계","종로구",부암동,합계,11109,5645
"합계","종로구",평창동,합계,19544,10229
"합계","종로구",무악동,합계,8581,4490
"합계","종로구",교남동,합계,5347,2707
"합계","종로구",가회동,합계,5219,2775
"합계","종로구",종로1.2.3.4가동,합계,7856,3275
"합계","종로구",종로5.6가동,합계,5926,2701
"합계","종로구",이화동,합계,8995,4720
"합계","종로구",창신1동,합계,6334,2968
"합계","종로구",창신2동,합계,10679,5248
"합계","종로구",창신3동,합계,8189,4075
"합계","종로구",숭인1동,합계,7202,3572
"합계","종로구",숭인2동,합계,9537,4589
"합계","종로구",청운효자동,합계,14570,7599
"합계","종로구",혜화동,합계,17889,9031
"합계","중구",소계,합계,130465,65094
"합계","중구",소공동,합계,1339,641
"합계","중구",회현동,합계,5892,2692
"합계","중구",명동,합계,3279,1839
"합계","중구",필동,합계,4484,2118
"합계","중구",장충동,합계,5551,2698
"합계","중구",광희동,합계,5364,2482
"합계","중구",을지로동,합계,1901,730
"합계","중구",신당5동,합계,10397,5145
"합계","중구",황학동,합계,12259,6025
"합계","중구",중림동,합계,9655,4750
"합계","중구",신당동,합계,7640,3688
"합계","중구",다산동,합계,16163,8209
"합계","중구",약수동,합계,19030,9863
"합계","중구",청구동,합계,15598,8064
"합계","중구",동화동,합계,11913,6150
"합계","용산구",소계,합계,239740,123249
"합계","용산구",후암동,합계,19561,9856
"합계","용산구",용산2가동,합계,12477,6426
"합계","용산구",남영동,합계,7987,3122
"합계","용산구",원효로2동,합계,15646,8227
"합계","용산구",효창동,합계,11244,5778
"합계","용산구",용문동,합계,12894,6638
"합계","용산구",이촌1동,합계,26919,14368
"합계","용산구",이촌2동,합계,9986,5211
"합계","용산구",이태원1동,합계,8175,4387
"합계","용산구",이태원2동,합계,10891,5806
"합계","용산구",서빙고동,합계,13834,7142
"합계","용산구",보광동,합계,17097,8810
"합계","용산구",청파동,합계,22494,11659
"합계","용산구",원효로1동,합계,12709,6405
"합계","용산구",한강로동,합계,15087,7561
"합계","용산구",한남동,합계,22739,11853
"합계","성동구",소계,합계,299337,150033
"합계","성동구",왕십리2동,합계,16838,8507
"합계","성동구",마장동,합계,24903,12461
"합계","성동구",사근동,합계,10481,4960
"합계","성동구",행당1동,합계,17383,8785
"합계","성동구",행당2동,합계,26674,13962
"합계","성동구",응봉동,합계,17306,9000
"합계","성동구",금호1가동,합계,14717,7572
"합계","성동구",금호4가동,합계,15058,7708
"합계","성동구",성수1가1동,합계,17774,8751
"합계","성동구",성수1가2동,합계,18155,8928
"합계","성동구",성수2가1동,합계,20135,9614
"합계","성동구",성수2가3동,합계,11994,5769
"합계","성동구",송정동,합계,12046,5654
"합계","성동구",용답동,합계,16438,7741
"합계","성동구",왕십리도선동,합계,12673,6412
"합계","성동구",금호2.3가동,합계,23303,12017
"합계","성동구",옥수동,합계,23459,12192
"합계","광진구",소계,합계,368927,187063
"합계","광진구",화양동,합계,21559,10979
"합계","광진구",군자동,합계,21229,10573
"합계","광진구",중곡1동,합계,16532,8306
"합계","광진구",중곡2동,합계,22920,11729
"합계","광진구",중곡3동,합계,18631,9250
"합계","광진구",중곡4동,합계,31764,16000
"합계","광진구",능동,합계,11102,5851
"합계","광진구",구의1동,합계,22454,11584
"합계","광진구",구의2동,합계,27459,13931
"합계","광진구",구의3동,합계,29524,15183
"합계","광진구",광장동,합계,37309,19126
"합계","광진구",자양1동,합계,23777,11994
"합계","광진구",자양2동,합계,28312,14232
"합계","광진구",자양3동,합계,31595,16213
"합계","광진구",자양4동,합계,24760,12112
"합계","동대문구",소계,합계,364273,181286
"합계","동대문구",회기동,합계,11249,5797
"합계","동대문구",휘경1동,합계,16324,8173
"합계","동대문구",휘경2동,합계,25741,12998
"합계","동대문구",청량리동,합계,23940,11914
"합계","동대문구",용신동,합계,31482,15130
"합계","동대문구",제기동,합계,27421,13383
"합계","동대문구",전농1동,합계,32514,15958
"합계","동대문구",전농2동,합계,21288,10885
"합계","동대문구",답십리1동,합계,19861,9963
"합계","동대문구",답십리2동,합계,31272,15803
"합계","동대문구",장안1동,합계,37284,18482
"합계","동대문구",장안2동,합계,32417,15988
"합계","동대문구",이문1동,합계,30672,15275
"합계","동대문구",이문2동,합계,22808,11537
"합계","중랑구",소계,합계,416798,208157
"합계","중랑구",면목2동,합계,27844,13841
"합계","중랑구",면목4동,합계,22009,11106
"합계","중랑구",면목5동,합계,13757,6680
"합계","중랑구",면목7동,합계,25137,12514
"합계","중랑구",상봉1동,합계,25935,13133
"합계","중랑구",상봉2동,합계,18329,9011
"합계","중랑구",중화1동,합계,21329,10733
"합계","중랑구",중화2동,합계,29903,14437
"합계","중랑구",묵1동,합계,36159,18369
"합계","중랑구",묵2동,합계,19879,9914
"합계","중랑구",망우3동,합계,19048,9434
"합계","중랑구",신내1동,합계,33152,16811
"합계","중랑구",신내2동,합계,24785,12677
"합계","중랑구",면목본동,합계,36475,18201
"합계","중랑구",면목3.8동,합계,28795,14378
"합계","중랑구",망우본동,합계,34262,16918
"합계","성북구",소계,합계,476589,242016
"합계","성북구",돈암1동,합계,16212,8394
"합계","성북구",돈암2동,합계,23722,12303
"합계","성북구",안암동,합계,16547,8139
"합계","성북구",보문동,합계,13961,7077
"합계","성북구",정릉1동,합계,19888,10283
"합계","성북구",정릉2동,합계,24054,12138
"합계","성북구",정릉3동,합계,17441,8717
"합계","성북구",정릉4동,합계,27845,14196
"합계","성북구",길음1동,합계,37729,19420
"합계","성북구",길음2동,합계,20555,10411
"합계","성북구",월곡1동,합계,28915,14621
"합계","성북구",월곡2동,합계,21278,10778
"합계","성북구",장위1동,합계,25160,12642
"합계","성북구",장위2동,합계,21951,10893
"합계","성북구",장위3동,합계,18558,9019
"합계","성북구",성북동,합계,18768,9771
"합계","성북구",삼선동,합계,28038,14357
"합계","성북구",동선동,합계,16435,9153
"합계","성북구",종암동,합계,42823,21460
"합계","성북구",석관동,합계,36709,18244
"합계","강북구",소계,합계,338707,171365
"합계","강북구",번1동,합계,20672,10420
"합계","강북구",번2동,합계,19355,9777
"합계","강북구",번3동,합계,20950,10806
"합계","강북구",수유1동,합계,22958,11363
"합계","강북구",수유2동,합계,22839,11554
"합계","강북구",수유3동,합계,23982,12081
"합계","강북구",삼양동,합계,31007,15513
"합계","강북구",미아동,합계,23437,11888
"합계","강북구",송중동,합계,32606,16693
"합계","강북구",송천동,합계,31186,15572
"합계","강북구",삼각산동,합계,34954,17911
"합계","강북구",우이동,합계,21325,10802
"합계","강북구",인수동,합계,33436,16985
"합계","도봉구",소계,합계,358582,181429
"합계","도봉구",쌍문1동,합계,22502,11465
"합계","도봉구",쌍문2동,합계,21217,10817
"합계","도봉구",쌍문3동,합계,18221,9306
"합계","도봉구",쌍문4동,합계,21342,11016
"합계","도봉구",방학1동,합계,31879,15862
"합계","도봉구",방학2동,합계,23435,11547
"합계","도봉구",방학3동,합계,31671,16133
"합계","도봉구",창1동,합계,28426,14565
"합계","도봉구",창2동,합계,31175,15790
"합계","도봉구",창3동,합계,15872,7889
"합계","도봉구",창4동,합계,30600,15751
"합계","도봉구",창5동,합계,27614,14088
"합계","도봉구",도봉1동,합계,23935,11725
"합계","도봉구",도봉2동,합계,30693,15475
"합계","노원구",소계,합계,590479,302044
"합계","노원구",월계1동,합계,22603,11002
"합계","노원구",월계2동,합계,29988,15372
"합계","노원구",월계3동,합계,35397,18165
"합계","노원구",공릉2동,합계,46121,23123
"합계","노원구",하계1동,합계,30402,15690
"합계","노원구",하계2동,합계,25481,13095
"합계","노원구",중계본동,합계,29514,14935
"합계","노원구",중계1동,합계,30484,15509
"합계","노원구",중계4동,합계,22251,11374
"합계","노원구",상계1동,합계,43792,22249
"합계","노원구",상계2동,합계,22437,11306
"합계","노원구",상계5동,합계,23972,12265
"합계","노원구",상계8동,합계,26607,13829
"합계","노원구",상계9동,합계,24484,12629
"합계","노원구",상계10동,합계,20271,10718
"합계","노원구",상계3.4동,합계,38140,18937
"합계","노원구",상계6.7동,합계,36584,19352
"합계","노원구",중계2.3동,합계,41833,22111
"합계","노원구",공릉1동,합계,40118,20383
"합계","은평구",소계,합계,503660,256802
"합계","은평구",녹번동,합계,32482,16739
"합계","은평구",불광1동,합계,42847,22107
"합계","은평구",갈현1동,합계,26070,13150
"합계","은평구",갈현2동,합계,29083,14974
"합계","은평구",구산동,합계,33583,16404
"합계","은평구",대조동,합계,32090,16742
"합계","은평구",응암1동,합계,32382,16599
"합계","은평구",응암2동,합계,26581,13409
"합계","은평구",신사1동,합계,28254,14434
"합계","은평구",신사2동,합계,22554,11249
"합계","은평구",증산동,합계,20625,10276
"합계","은평구",수색동,합계,19077,9529
"합계","은평구",진관동,합계,51495,26778
"합계","은평구",불광2동,합계,29667,15032
"합계","은평구",응암3동,합계,27506,13933
"합계","은평구",역촌동,합계,49364,25447
"합계","서대문구",소계,합계,314110,160795
"합계","서대문구",천연동,합계,20187,10439
"합계","서대문구",홍제1동,합계,26586,13787
"합계","서대문구",홍제3동,합계,19880,10151
"합계","서대문구",홍제2동,합계,15604,8125
"합계","서대문구",홍은1동,합계,25946,13214
"합계","서대문구",홍은2동,합계,29711,15111
"합계","서대문구",남가좌1동,합계,3774,1852
"합계","서대문구",남가좌2동,합계,29932,15138
"합계","서대문구",북가좌1동,합계,19709,10014
"합계","서대문구",북가좌2동,합계,33947,17227
"합계","서대문구",충현동,합계,19685,9992
"합계","서대문구",북아현동,합계,10569,5450
"합계","서대문구",신촌동,합계,18356,9688
"합계","서대문구",연희동,합계,40224,20607
"합계","마포구",소계,합계,381856,197082
"합계","마포구",용강동,합계,18917,9837
"합계","마포구",대흥동,합계,14094,7163
"합계","마포구",염리동,합계,15929,8068
"합계","마포구",신수동,합계,21718,10973
"합계","마포구",서교동,합계,28924,15570
"합계","마포구",합정동,합계,20074,10328
"합계","마포구",망원1동,합계,23848,12243
"합계","마포구",망원2동,합계,20884,10738
"합계","마포구",연남동,합계,19092,9979
"합계","마포구",성산1동,합계,21101,10907
"합계","마포구",성산2동,합계,40623,20953
"합계","마포구",상암동,합계,33085,16827
"합계","마포구",도화동,합계,23405,12124
"합계","마포구",서강동,합계,24714,12885
"합계","마포구",공덕동,합계,36849,18970
"합계","마포구",아현동,합계,18599,9517
"합계","양천구",소계,합계,492528,247786
"합계","양천구",목1동,합계,32901,16897
"합계","양천구",목2동,합계,31587,15988
"합계","양천구",목3동,합계,23007,11721
"합계","양천구",목4동,합계,28551,14277
"합계","양천구",신월1동,합계,24290,11832
"합계","양천구",신월2동,합계,21116,10612
"합계","양천구",신월3동,합계,17613,8420
"합계","양천구",신월4동,합계,19502,9827
